Sample,File,Kit,Individual,Replicate
GEMX5P_F1,GEMX_F1,GEMX5P,F1,A
GEMX5P_F2,GEMX_F2,GEMX5P,F2,A
GEMX5P_F4,GEMX_F4,GEMX5P,F4,A
GEMX5P_F5,GEMX_F5,GEMX5P,F5,A
NextGEM5P_F1,NextGEM_F1,NextGEM5P,F1,A
NextGEM5P_F2,NextGEM_F2,NextGEM5P,F2,A
parse_v2_F1,B1-PA-F1,Parse_v2,F1,A
parse_v2_F2,B1-PA-F2,Parse_v2,F2,A
parse_v2_F4,B1-PA-F4,Parse_v2,F4,A
parse_v2_F5,B1-PA-F5,Parse_v2,F5,A
