Sample	nreads	median_umi	median_genes	File	Kit	Individual	Replicate
NextGEM5P_F2	22500	5155	1755	NextGEM_F2	NextGEM5P	F2	A
NextGEM5P_F2	25000	5294	1794	NextGEM_F2	NextGEM5P	F2	A
NextGEM5P_F4	NA	NA	NA	NextGEM_F4	NextGEM5P	F4	A
NextGEM5P_F5	NA	NA	NA	NextGEM_F5	NextGEM5P	F5	A
Parse_v2_F1	0	0	0	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	1000	426.9375	344.3125	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	2000	805.875	593.5625	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	3000	1143.75	787.5	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	4000	1446.0625	944.875	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	5000	1719.6875	1075.5	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	6000	1964.6875	1185.1875	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	8000	2396.1875	1363.0625	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	10000	2756.5625	1499.375	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	12000	3060.125	1606.25	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	14000	3320	1694.75	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	16000	3549.4375	1767.5	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	20000	3924.3125	1882.4375	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	24569	4240	1976	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F2	0	0	0	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	1000	428.6875	343.875	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	2000	812.75	594.25	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	3000	1156.375	790.8125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	4000	1468.9375	950.1875	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	5000	1744.875	1082.125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	6000	2003.0625	1195.0625	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	8000	2449.125	1376.1875	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	10000	2821.9375	1515.8125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	12000	3144.1875	1627.3125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	14000	3421.625	1719.125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	16000	3660.375	1794.1875	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	20000	4061.5	1914.3125	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	24000	4394.071429	2007	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	26139	4520	2040	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F4	0	0	0	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	1000	459.625	362.1875	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	2000	862.875	618.9375	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	3000	1218.75	815.3125	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	4000	1535.8125	973.625	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	5000	1817.75	1102.125	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	6000	2074.5625	1211.9375	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	8000	2508.25	1385.5	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	10000	2868.75	1516.5	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	12000	3173.3125	1620	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	14000	3432.8125	1704.625	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	16000	3654.375	1773.5	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	20000	4028.928571	1884.928571	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	22525	4204	1934	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F5	0	0	0	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	1000	466.25	370.5	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	2000	872.25	630.4375	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	3000	1225.125	829	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	4000	1539.4375	986.5	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	5000	1817.625	1114.9375	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	6000	2065.625	1222.75	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	8000	2484.9375	1392.9375	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	10000	2832.25	1521.875	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	12000	3121.875	1622	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	14000	3368.0625	1703	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	16000	3577.875	1770	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	21006	3974	1889	B1-PA-F5	Parse_v2	F5	A
