Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
Scale_F5A	1000	499	569	F1A	Scale	F5	A	NA
Scale_F5A	2500	962	1269	F1A	Scale	F5	A	NA
Scale_F5A	0	0	0	F1A	Scale	F5	A	NA
Scale_F5B	5000	1306	1895	F5B	Scale	F5	B	NA
Scale_F5B	7500	1547	2398	F5B	Scale	F5	B	NA
Scale_F5B	10000	1706	2578	F5B	Scale	F5	B	NA
Scale_F5B	12500	1818	3028	F5B	Scale	F5	B	NA
Scale_F5B	25000	2103	3748	F5B	Scale	F5	B	NA
Scale_F5B	2500	896	1156	F5B	Scale	F5	B	NA
Scale_F5B	0	0	0	F5B	Scale	F5	B	NA
Scale_F5B	22500	2065	3653	F5B	Scale	F5	B	NA
Scale_F5B	1000	469	529	F5B	Scale	F5	B	NA
Scale_F5B	15000	1903	3238	F5B	Scale	F5	B	NA
Scale_F5B	17500	1968	3404	F5B	Scale	F5	B	NA
Scale_F5B	20000	2021	3540	F5B	Scale	F5	B	NA
