Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
Fluent_V_F5A	12500	1170	2858	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	5000	820	1822	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	7500	978	2309	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	10000	1089	2673	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	15000	1233	3062	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	17500	1282	3231	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	0	0	0	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5B	1000	326	523	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	10000	1189	2810	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	2500	590	1151	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	5000	873	1869	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	7500	1057	2403	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	0	0	0	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	20000	1482	3670	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	12500	1288	3138	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	15000	1367	3408	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	17500	1430	3496	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	22500	1525	3817	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	25000	1561	3943	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_v4_F1A	1000	246	293	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	2500	477	647	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	5000	719	1086	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	7500	874	1403	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	10000	984	1642	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	12500	1064	1829	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	15000	1127	1984	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	17500	1177	2112	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	20000	1219	2220	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	22500	1254	2313	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	25000	1283	2391	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	0	0	0	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1B	2500	448	595	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	5000	683	1008	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	7500	835	1311	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	1000	227	267	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	12500	1025	1726	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	15000	1088	1873	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	17500	1138	1997	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	20000	1179	2102	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	22500	1215	2194	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	25000	1245	2270	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	10000	944	1544	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	0	0	0	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F5A	1000	246	292	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	2500	482	645	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	10000	997	1648	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	12500	1081	1839	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	5000	728	1084	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	7500	886	1405	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	20000	1239	2231	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	22500	1274	2326	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	25000	1304	2409	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	15000	1145	1995	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	17500	NA	NA	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5A	0	0	0	B2-FBv4_F5A	Fluent_v4	F5	A	5
Fluent_v4_F5B	1000	233	281	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	10000	837	1390	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	2500	439	598	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	5000	639	963	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	7500	758	1211	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	20000	998	1788	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	12500	894	1525	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	15000	937	1631	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	17500	970	1716	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	0	0	0	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	22500	1020	1850	B2-FBv4_F5B	Fluent_v4	F5	B	4
Fluent_v4_F5B	25000	1039	1902	B2-FBv4_F5B	Fluent_v4	F5	B	4
GEMX3P_F1A	0	0	0	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	1000	399	563	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	2500	801	1348	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	5000	1272	2490	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	17500	2443	6449	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	20000	2574	7007	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	22500	2686	7514	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	15000	2290	5824	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	7500	1616	3480	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	10000	1887	4352	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	25000	2785	7975	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1A	12500	2106	5128	GEMX_F1A	GEMX3P	F1	A	NA
GEMX3P_F1B	2500	765	1272	GEMX_F1B	GEMX3P	F1	B	NA
