Kit	ind	z
Flex	F1	36.693099054229
Flex	F5	36.8739333140401
NextGEM3P	F1	33.6520042878563
NextGEM3P	F5	35.2562829874745
GEMX3P	F1	15.5122243896506
GEMX3P	F5	16.866997297197
Fluent_v4	F1	44.1505144100533
Fluent_v4	F5	78.3667405273378
Fluent_V	F1	39.6683004270185
Fluent_V	F5	44.8446195243145
Parse_v3	F1	73.875271649083
Parse_v3	F5	76.2549976433577
Scale	F1	70.8851655130638
Scale	F5	36.3846812981479
